,Entity,Line_Item,Year,R2_train,RMSE_train,R2_test,RMSE_test
56,BU1,Surrender Chrg,2027,0.9999706985815044,0.18612533780897092,-0.38425555430808367,7.7980015185377445
57,BU1,Surrender Chrg,2028,0.9999859541281604,0.18753595745333887,0.9515335879462343,2.4444108692601367
58,BU1,Surrender Chrg,2029,0.9999822165187584,0.2751865230875518,0.5837348639975131,10.715937436904051
59,BU1,Surrender Chrg,2030,0.9999769358086166,0.38529485136745945,0.629812028244846,17.439797297655183
60,BU1,Unit Liabilities,2026,0.9999866569545072,11.004653927093788,0.9566365323758472,1214.8517777359536
61,BU1,Unit Liabilities,2027,0.9999871412543351,21.240097814703873,0.9750887790358269,1880.0439055676404
62,BU1,Unit Liabilities,2028,0.9999880477850507,31.478210881370615,0.9797886386732019,2776.8720063571477
63,BU1,Unit Liabilities,2029,0.9999892242917101,41.70897292066033,0.9839455888063724,3652.4962978110066
64,BU1,Unit Liabilities,2030,0.0,0.0014612780596264118,0.0,0.06795170001270036
0,BU2,AMC,2026,0.9999768574527674,0.16065876400864962,0.9212212959741618,16.487686875767235
1,BU2,AMC,2027,0.9999914253144032,0.1906622404828971,0.9699607816062156,20.807788029400946
2,BU2,AMC,2028,0.9999905940673746,0.3031917189407035,0.9884512287424078,21.193576209979224
3,BU2,AMC,2029,0.9999919898651994,0.38602118698784055,0.9966086534506582,16.985871329670793
4,BU2,AMC,2030,0.9999864009260258,0.6613994717018985,0.9810754040507911,60.80632231121434
5,BU2,Bonds,2026,0.9999841405073632,4.528444013495747,0.8377800181887345,641.7353844052782
6,BU2,Bonds,2027,0.9999883217211817,7.808188028971505,0.8875865047124407,1156.356459116516
7,BU2,Bonds,2028,0.9999867370517379,12.845124072198875,0.9253211256216405,1517.8203261739611
8,BU2,Bonds,2029,0.9999916489398952,14.311428799883377,0.8936968077035364,2571.259621817516
9,BU2,Bonds,2030,0.0,0.0017485041749747247,0.0,0.016531190429999194
10,BU2,Cash,2026,0.9999892249189523,0.17477219032602276,0.39920954481540205,25.988617942164012
11,BU2,Cash,2027,0.9999908214921605,0.4342778644835931,0.3989917563828723,74.93308285616054
12,BU2,Cash,2028,0.9999889947583992,0.9253087987232823,-0.08452801830886814,207.29387804548566
13,BU2,Cash,2029,0.9999717269005075,2.6534426433293676,-0.5275276487204892,451.1898547815018
14,BU2,Cash,2030,0.9999380420797881,26.704997528180282,0.3440823241009633,2960.328061508003
15,BU2,Change in Res,2026,0.9999872638784074,10.751461508239721,0.965121085143981,1089.5389838749181
16,BU2,Change in Res,2027,0.999990093271581,9.460604396546172,0.9998670035526893,70.14412988289735
17,BU2,Change in Res,2028,0.9999948187033533,7.573682827038738,0.9984897715831995,296.20847811624384
18,BU2,Change in Res,2029,0.9999780696404978,17.97116304004155,0.9840834709025392,1173.8138513782162
19,BU2,Change in Res,2030,0.9999778896737814,59.74535659913652,0.9927941339942533,2447.009663163564
20,BU2,Equities,2026,0.9999808442159205,8.445412884132725,0.9495398846626071,958.7463836020971
21,BU2,Equities,2027,0.9999902902040342,11.49873697012281,0.9824154727126031,1125.5763467342636
22,BU2,Equities,2028,0.999984589555004,22.294253191191647,0.9798900480491445,1986.3400588677785
23,BU2,Equities,2029,0.9999890278652575,26.340803680925603,0.9704459922464691,3606.1224296162604
24,BU2,Equities,2030,0.0,0.0015538350944477525,0.0,0.039186376082440216
25,BU2,Inv Inc,2026,0.9999700780590247,4.396663824834891,0.8804842587284951,662.9418643410612
26,BU2,Inv Inc,2027,0.9999806563370508,3.0557029727599834,0.7257619346158601,633.1902465881992
27,BU2,Inv Inc,2028,0.9999938104298967,2.606825990991605,0.8653429911495821,674.0780268812007
28,BU2,Inv Inc,2029,0.9999911058241845,4.257637368508005,0.9509853718450885,561.9315581635185
29,BU2,Inv Inc,2030,0.9999938517667705,4.820749797694973,0.8527696126784822,2694.1869336438176
30,BU2,Lapse Outgo,2026,0.9999789913221946,1.66417432487557,0.2631675877834313,47.96057564938708
31,BU2,Lapse Outgo,2027,0.99997999843558,3.094272117612167,0.44695082900894756,99.23276213813294
32,BU2,Lapse Outgo,2028,0.9999901372728365,3.1619014511846766,0.9957604319676581,14.568122654198552
33,BU2,Lapse Outgo,2029,0.9999880104460317,4.546052048550387,0.7532788850218617,166.37792482580417
34,BU2,Lapse Outgo,2030,0.9999702965960409,8.796512420804424,0.8001247560600016,258.2548013243902
35,BU2,Mat Guarantee,2026,0.0,0.0018632044418770725,0.0,0.1178374983163448
36,BU2,Mat Guarantee,2027,0.0,0.002314796361181767,0.0,0.05140715223355367
37,BU2,Mat Guarantee,2028,0.0,0.0017529401138482324,0.0,0.07256842491061322
38,BU2,Mat Guarantee,2029,0.0,0.002514115746657336,0.0,0.04884333118348987
39,BU2,Mat Guarantee,2030,0.9999664891098672,23.39504635190946,-0.4636247053696205,3753.6994275771226
40,BU2,Maturity Outgo,2026,0.0,0.002582033873957072,0.0,0.046660757732498455
41,BU2,Maturity Outgo,2027,0.0,0.0012410219326706102,0.0,0.04109281381636184
42,BU2,Maturity Outgo,2028,0.0,0.0012392311948999303,0.0,0.17760428422549784
43,BU2,Maturity Outgo,2029,0.0,0.001478041201291207,0.0,0.006904259630792145
44,BU2,Maturity Outgo,2030,0.999988495973073,58.59330920793405,0.9608740353173852,8022.168917864449
45,BU2,Premiums,2026,0.9999621481855705,18.64306229151991,0.8464210321854388,1602.5547193324182
46,BU2,Premiums,2027,0.9999694584934864,17.240975347004575,0.9896887218163894,505.47500904922885
47,BU2,Premiums,2028,0.999990528490416,10.136889305879885,0.992480804084509,518.5463517612022
48,BU2,Premiums,2029,0.9999818394814379,15.187735937903188,0.9941861701016879,542.0804991873135
49,BU2,Premiums,2030,0.9999826934558278,16.38884806781259,0.9730453892598283,1376.1356483895793
50,BU2,Risk Chrg,2026,0.9999782087124507,0.14532113791730655,0.5667950970232576,19.319126202041314
51,BU2,Risk Chrg,2027,0.9999768714873766,0.17883867873887802,0.14111866998597067,53.335254063517674
52,BU2,Risk Chrg,2028,0.9999811028194143,0.39744419058233604,-0.3440461362377012,120.36504480825278
53,BU2,Risk Chrg,2029,0.9999579258758983,1.1311102779286029,-1.6306040230253207,248.20377226493082
54,BU2,Risk Chrg,2030,0.999917413521925,2.5676443192193097,-0.3639579836680813,291.73158761977993
55,BU2,Surrender Chrg,2026,0.999959926688824,0.11421311942672334,0.12519883744925964,2.5975783449973977
56,BU2,Surrender Chrg,2027,0.9999706985815044,0.18612533780897092,-0.38425555430808367,7.7980015185377445
57,BU2,Surrender Chrg,2028,0.9999859541281604,0.18753595745333887,0.9515335879462343,2.4444108692601367
58,BU2,Surrender Chrg,2029,0.9999822165187584,0.2751865230875518,0.5837348639975131,10.715937436904051
59,BU2,Surrender Chrg,2030,0.9999769358086166,0.38529485136745945,0.629812028244846,17.439797297655183
60,BU2,Unit Liabilities,2026,0.9999866569545072,11.004653927093788,0.9566365323758472,1214.8517777359536
61,BU2,Unit Liabilities,2027,0.9999871412543351,21.240097814703873,0.9750887790358269,1880.0439055676404
62,BU2,Unit Liabilities,2028,0.9999880477850507,31.478210881370615,0.9797886386732019,2776.8720063571477
63,BU2,Unit Liabilities,2029,0.9999892242917101,41.70897292066033,0.9839455888063724,3652.4962978110066
64,BU2,Unit Liabilities,2030,0.0,0.0014612780596264118,0.0,0.06795170001270036
